	H5Tub.HGU133A.Stanford373.Stanford373	H5Tub.HGU133A.Stanford374.Stanford374	H5Tub.HGU133A.Stanford375.Stanford375	H5Tub.HGU133A.Stanford378.Stanford378	H7Tub.HGU133Plus2.Stanford1164.Stanford1164	H7Tub.HGU133Plus2.Stanford1165.Stanford1165	H7Tub.HGU133Plus2.Stanford1166.Stanford1166	H7Tub.HGU133Plus2.Stanford1168.Stanford1168	H7Tub.HGU133Plus2.Stanford1169.Stanford1169	H7Tub.HGU133Plus2.Stanford1170.Stanford1170	H7Tub.HGU133Plus2.Stanford1171.Stanford1171	H7Tub.HGU133Plus2.Stanford1172.Stanford1172	H7Tub.HGU133Plus2.Stanford1173.Stanford1173	H7Tub.HGU133Plus2.Stanford1174.Stanford1174	H7Tub.HGU133Plus2.Stanford1175.Stanford1175	H7Tub.HGU133Plus2.Stanford1177.Stanford1177	H7Tub.HGU133Plus2.Stanford1178.Stanford1178	H7Tub.HGU133Plus2.Stanford1179.Stanford1179	H7Tub.HGU133Plus2.Stanford1180.Stanford1180	H7Tub.HGU133Plus2.Stanford1182.Stanford1182	H7Tub.HGU133Plus2.Stanford1183.Stanford1183	H7Tub.HGU133Plus2.Stanford1184.Stanford1184	H8Tub-HGU133Plus2-LD_Stanford1296-LD_Stanford1296_30_25	H8Tub-HGU133Plus2-LD_Stanford1298-LD_Stanford1298_30_103	H8Tub-HGU133Plus2-LD_Stanford1299-LD_Stanford1299_30_109	H8Tub-HGU133Plus2-LD_Stanford1301-LD_Stanford1301_30_131	H8Tub-HGU133Plus2-LD_Stanford1302-LD_Stanford1302_30_138	H8Tub-HGU133Plus2-LD_Stanford1303-LD_Stanford1303_30_142	H8Tub-HGU133Plus2-LD_Stanford1304-LD_Stanford1304_30_146	H8Tub-HGU133Plus2-LD_Stanford1305-LD_Stanford1305_30_147	H8Tub-HGU133Plus2-LD_Stanford1306-LD_Stanford1306_30_150	H1Tub.HGU133A.DNNULL.DN1	H1Tub.HGU133A.DNNULL.DN10	H1Tub.HGU133A.DNNULL.DN11	H1Tub.HGU133A.DNNULL.DN2	H1Tub.HGU133A.DNNULL.DN3	H1Tub.HGU133A.DNNULL.DN5	H1Tub.HGU133A.DNNULL.DN6	H1Tub.HGU133A.DNNULL.DN7	H1Tub.HGU133A.DNNULL.DN8	H1Tub.HGU133A.DNNULL.DN9	H7Tub.HGU133Plus2.DN1101.DN1101	H7Tub.HGU133Plus2.DN1108.DN1108	H7Tub.HGU133Plus2.DN1110.DN1110	H7Tub.HGU133Plus2.DN1114.DN1114	H7Tub.HGU133Plus2.DN1132.DN1132	H7Tub.HGU133Plus2.DN1133.DN1133	H7Tub.HGU133Plus2.DN1139.DN1139
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PIK3R3 	-0.4914	-0.74931	-0.72603	-0.3621	-0.55436	-0.58943	-0.62769	-0.70637	-0.74677	-0.67335	-0.70709	-0.68887	-0.57611	-0.48682	-0.88423	-0.39329	-0.53107	-0.68227	-0.75227	-0.62064	-0.47641	-0.4507	-0.50992	-0.36108	-0.53304	-0.55217	-0.62783	-0.35243	-0.36376	-0.54425	-0.52835	-0.2087	-0.33753	-0.25734	-0.20731	-0.21939	-0.20993	0.09061	-0.33906	-0.28464	-0.31766	-0.11738	-0.24118	-0.35047	-0.11599	-0.21266	-0.34169	-0.10198
UPF2 	0.25861	0.05671	-0.03751	0.2214	-0.22181	0.21303	0.12516	0.14884	0.306	0.20653	0.21662	0.311	0.16176	0.07605	0.00172	0.14626	0.21408	0.21749	0.03183	0.03313	0.4409	0.13991	0.19984	0.24949	0.5477	0.26853	0.3191	0.28075	0.54378	0.2697	0.2543	0.64096	1.15736	0.79062	0.49802	0.66363	0.57232	0.5017	0.6303	0.55497	0.91513	0.50853	0.5472	0.70551	0.54783	0.72283	0.78033	0.52523
TNFRSF11B 	0.74938	1.0404	0.58559	1.38486	0.73484	1.41067	0.73515	1.01739	0.64696	0.66397	0.58625	0.72599	-0.18549	1.48982	0.83921	0.84554	0.36491	1.08005	0.95923	1.19574	0.8145	1.10484	1.29176	1.41624	1.64142	0.86302	0.61043	1.18974	1.17707	1.36715	0.93064	1.51816	2.44766	1.65164	1.81079	1.46435	2.16353	2.32926	1.38974	2.09225	2.6921	2.34099	2.09585	2.36779	1.99185	2.09369	1.80431	1.28323
MFAP1 	2.00991	1.9545	1.89808	1.41803	1.31721	2.09344	1.82962	1.96832	2.04704	1.98054	1.93285	1.85501	1.74211	2.15303	1.67599	1.94358	2.0443	1.94246	1.91049	2.09023	1.95662	1.97973	2.25664	2.35903	2.27954	1.73129	2.29696	2.04471	2.42423	1.8669	2.09629	2.26029	2.4822	2.39137	2.36102	2.39582	2.37093	2.56578	2.41361	2.04218	2.61109	2.52639	2.20606	2.26983	2.3562	2.23447	2.34228	2.41847
PRKACB 	1.41058	1.32325	1.19755	0.97892	0.90676	1.19286	1.16759	1.31517	1.51445	1.2333	1.30318	1.35895	1.0913	1.54904	0.86944	1.04313	1.31308	1.44973	1.24624	1.22768	1.1878	1.30958	1.83141	1.45452	1.59203	1.30288	1.38758	1.59534	1.37589	1.46438	1.25365	1.7706	1.99934	1.40385	1.97362	2.13457	1.9679	2.05681	1.66693	1.59406	1.72935	1.99715	2.12835	1.93429	1.74927	1.57386	1.41833	1.99919
RARS 	2.63907	2.39674	2.42091	2.0593	1.97541	2.82418	2.37967	2.51695	2.5802	2.50484	2.42703	2.39855	2.52457	2.83524	2.12923	2.55441	2.52957	2.55402	2.56328	2.64154	2.50254	2.56369	2.87022	2.82253	3.08561	2.3907	2.82578	2.90483	3.03221	2.66365	2.71674	2.90273	3.34093	2.93391	2.85907	2.95773	3.07475	2.9559	2.86973	2.92632	3.41314	3.07281	3.01233	3.02617	2.77313	2.7883	3.17616	2.97427
PROM1 	1.16524	0.87705	1.12523	0.36454	-0.74445	2.32452	1.01318	0.80572	1.24007	0.07225	1.80457	1.35942	-2.10E-04	1.3753	1.06296	1.52792	1.35178	1.57554	1.87624	0.76684	1.4085	1.22695	1.54869	1.65906	1.79544	1.76647	2.58035	1.28823	0.51494	1.80711	1.09014	2.18422	4.08099	3.26469	2.30765	3.61006	2.62065	3.50352	1.53916	1.78025	4.66161	3.6221	3.54227	4.13856	2.4258	2.80023	3.69614	3.58306
PTGS2 	-2.27733	-2.58871	-2.476	-2.21526	-2.45097	-1.91393	-2.41324	-2.32841	-2.3204	-2.40337	-2.45269	-2.41333	-2.28177	-2.32236	-2.46655	-2.35058	-2.4606	-2.02394	-2.45534	-2.44005	-2.44635	-2.26591	-2.42666	-1.73399	-2.18159	-2.5295	-2.72809	-2.4999	-2.53809	-2.51052	-2.47976	-2.34862	-1.93003	-2.10922	-1.89621	-2.03314	-1.80863	-2.08783	-1.78016	-1.87294	-1.64019	-2.12513	-2.20618	-1.83754	-1.79425	-2.05206	-2.07403	-1.90653
C5orf54 	-1.46221	-1.72765	-1.85994	-1.81722	-2.14779	-1.98819	-1.87081	-1.69745	-1.77057	-1.99323	-1.33307	-2.12788	-2.18391	-1.63523	-2.06661	-2.20957	-1.73409	-1.91956	-1.76537	-1.77105	-1.8733	-1.73507	-1.62155	-1.79874	-2.0091	-1.66518	-1.47316	-1.49373	-1.29002	-1.43517	-1.4979	-1.00882	-1.45772	-1.442	-1.14323	-0.71402	-1.08329	-1.36171	-1.40153	-1.70999	-1.00318	-1.11581	-1.1268	-1.32395	-1.18189	-1.4352	-1.38623	-1.46304
