"Ju CKD"
"Over-expression in Diabetic Nephropathy vs. Healthy Living Donor"
"Gene Rank","Gene Name","Gene Symbol","Reporter ID","t-Test","P-value","Q-value","Fold Change"
"1","MHC class I polypeptide-related sequence B","MICB","4277","12.620232","1.5587353136923516E-12","2.7319953843085847E-8","2.1235218"
"2","chemokine (C-X3-C motif) receptor 1","CX3CR1","1524","12.408658","1.6089423501518302E-12","1.4099966285555563E-8","7.3074703"
"3","lysozyme","LYZ","4069","10.080104","1.60881872217909E-11","9.399255247877638E-8","7.216792"
"4","5'-nucleotidase domain containing 2","NT5DC2","64943","9.076067","2.224915824876968E-10","9.749024915654654E-7","2.059073"
"5","interferon stimulated exonuclease gene 20kDa","ISG20","3669","9.503816","2.6080339885278617E-10","9.142202343385567E-7","2.3665962"
"6","calcium homeostasis modulator 2","CALHM2","51063","10.680105","2.273591524422938E-9","6.6415397747601396E-6","2.2208617"
"7","transmembrane channel-like 6","TMC6","11322","9.017892","2.7174851898332133E-9","6.80419470317239E-6","1.2624279"
"8","caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)","CASP1","834","9.088421","3.2767994838545734E-9","7.1790580691898885E-6","2.0851746"
"9","ficolin (collagen/fibrinogen domain containing) 1","FCN1","2219","8.657991","4.653214145562982E-9","9.061876036586932E-6","4.6668553"
"10","TP53 regulated inhibitor of apoptosis 1","TRIAP1","51499","8.023572","7.255578365330647E-9","1.2716852200915025E-5","1.3318659"
"11","neutrophil cytosolic factor 2","NCF2","4688","7.5457706","1.7968450536787593E-8","2.8630275687116014E-5","3.1089537"
"12","5-hydroxytryptamine (serotonin) receptor 2B","HTR2B","3357","7.9009786","1.9875928435321584E-8","2.9030449807156784E-5","4.96931"
"13","galactosidase, alpha","GLA","2717","8.696842","2.056374364382499E-8","2.772467191117851E-5","1.4069889"
"14","phosphorylase, glycogen, liver","PYGL","5836","7.97863","2.3427571381263253E-8","2.9329645971385787E-5","2.0452747"
"15","melanoma cell adhesion molecule","MCAM","4162","9.800497","2.5955078394116713E-8","3.0327643934245575E-5","2.003222"
"16","CD97 molecule","CD97","976","8.615943","2.746078934004551E-8","3.00815784226861E-5","2.4877443"
"17","transforming growth factor, beta-induced, 68kDa","TGFBI","7045","10.318352","2.798223631338892E-8","2.8849685639103975E-5","5.9694424"
"18","lysophosphatidic acid receptor 6","LPAR6","10161","8.447501","3.3374118159368226E-8","3.249712049884705E-5","2.3382115"
"19","ectonucleoside triphosphate diphosphohydrolase 1","ENTPD1","953","10.663447","3.55818226847951E-8","3.282329506296862E-5","1.7098923"
"20","actin related protein 2/3 complex, subunit 1B, 41kDa","ARPC1B","10095","8.723022","3.88190318142408E-8","3.4019058530409924E-5","2.1673086"
"21","CD247 molecule","CD247","919","9.683559","4.139302951948304E-8","3.454741087561806E-5","2.0700812"
"22","fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)","FSCN1","6624","7.2880135","4.894589042836732E-8","3.8994300978999725E-5","1.4988681"
