	CD1	CD2	CD3	CD4	LD1	LD2	LD3	DN1	DN10	DN11	DN2	DN3	DN4	DN5	DN6	DN7	DN8	DN9
	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
RPL6 	5.88776	5.83679	5.77666	5.92382	5.77331	5.91147	5.80143	6.17445	6.63891	6.43666	6.36255	6.51617	6.204	6.18086	6.37582	6.23916	6.44167	6.43789
CCNG2 	1.76706	1.79448	2.00121	2.25989	1.95574	1.87043	2.02905	2.6835	3.13265	2.71958	2.7907	2.26715	3.07384	2.94588	2.59365	3.33366	2.47849	2.7783
RPL26P36 	4.81697	4.77163	4.6764	4.87818	4.86226	4.89437	4.70742	5.14975	5.06664	5.11065	5.32866	5.21191	5.14972	4.94029	5.22845	4.96329	5.18048	5.13041
PTGS1 	0.40106	0.3286	0.2348	0.2865	0.36253	0.18781	0.29667	0.74327	1.00977	0.57055	0.63423	0.81269	0.53534	0.4592	0.59937	0.83567	0.70509	0.63897
RPL7 	5.70399	5.66494	5.57109	5.8722	5.57946	5.78636	5.72397	5.90161	6.57445	6.21596	6.26185	6.21133	5.97964	6.03197	6.3632	6.20393	6.293	6.60267
RPL5 	5.43227	5.2595	5.31567	5.50063	5.42695	5.31288	5.31879	5.66836	5.91802	5.49836	5.85361	5.66564	5.67208	5.59867	6.02274	5.60588	5.71474	5.77752
RPL22 	4.68248	4.68557	4.70145	4.66655	4.93706	4.79406	4.79939	5.11672	5.13894	5.09051	5.0698	5.10735	5.08068	4.83284	5.14879	4.94801	5.03249	5.25873
ACTG1 	6.25632	6.24901	5.96509	6.01046	5.96385	6.11738	5.78721	6.14418	7.1165	6.93166	6.56118	6.92212	6.61048	6.37493	6.79916	6.66299	6.85421	7.12941
HMGB1 	5.03868	5.01078	5.01977	5.05136	4.85296	4.96728	4.98773	5.2767	5.59313	5.15253	5.38254	5.85489	5.35444	5.32046	5.41438	5.27287	5.26833	5.52733
PTMA 	5.31675	5.11245	5.16766	5.19252	5.17268	5.10658	5.18818	5.40445	5.95605	5.57519	5.67893	6.13503	5.58192	5.686	5.737	5.32558	5.66981	6.00039
RPS27A 	5.46338	5.41808	5.38511	5.5242	5.27097	5.50839	5.32125	5.73893	6.07238	5.69458	6.03765	5.76033	5.72886	5.45599	5.77923	5.69872	5.86241	5.76372
ARL6IP1 	3.05222	2.84816	3.00362	3.1223	2.98319	2.79513	2.97797	3.22121	3.70294	3.16798	3.3335	3.49338	3.25958	3.42902	3.22874	3.33064	3.24997	3.58051
RPL31 	6.85255	6.81036	6.70801	6.97112	6.74613	6.89857	6.44421	7.20769	7.3147	7.42844	7.41408	7.36711	7.44179	6.99234	7.46659	7.14495	7.25257	7.3997
RPL3 	6.9872	6.90019	6.65883	6.99511	6.82969	6.94307	6.59359	7.08022	7.5109	7.57013	7.39897	7.41776	7.18719	7.09039	7.26144	7.31739	7.21878	7.52139
TRA2B 	1.66011	1.5113	1.61189	1.74706	1.58742	1.24653	1.48511	1.90783	2.131	1.80044	1.98384	1.89082	1.85641	2.22809	2.04195	2.14032	1.89425	2.40486
EEF1A1 	7.42228	7.30841	7.12283	7.26526	7.24239	7.50472	7.36808	7.51372	7.87216	7.72964	7.65897	7.64152	7.48917	7.60381	7.54017	7.81945	7.91823	7.7952
VWF 	-0.73082	-0.65466	-0.90781	-0.5399	-0.60422	-0.50703	-0.84283	0.03947	0.62653	0.96985	-0.12165	0.63533	1.15322	0.27281	2.18121	-0.1138	1.61644	0.66851
H3F3A 	5.22202	5.23049	5.22242	5.15697	5.127	5.31363	5.36947	5.23117	5.86248	5.53482	5.57452	5.68752	5.70462	5.5368	5.90078	5.40094	5.5153	5.6881
TIAM1 	-1.20019	-1.25201	-1.23241	-0.9769	-1.35449	-1.11371	-1.07646	-0.74369	-0.45542	-0.7412	-0.73536	0.63913	-0.35892	-0.18524	0.16718	-0.81212	0.08621	-0.35759
OSTM1 	6.67276	6.71704	6.35383	6.76218	6.594	6.68817	6.51737	6.73355	7.31639	7.29791	7.07862	7.16693	6.87176	6.79497	7.0271	7.06157	6.89408	7.38578
RPL3P7 	6.67276	6.71704	6.35383	6.76218	6.594	6.68817	6.51737	6.73355	7.31639	7.29791	7.07862	7.16693	6.87176	6.79497	7.0271	7.06157	6.89408	7.38578
CAV1 	-0.23387	-0.74239	-0.37681	-0.52525	-0.86486	-0.11098	-0.2868	0.3493	0.72901	0.14812	0.53074	1.06453	1.27826	0.03855	0.9911	1.12579	-0.56618	0.94446
CLDND1 	-0.16762	-0.3393	-0.18596	-0.1709	-0.49118	-0.2295	-0.18232	0.43546	0.44297	-0.08756	0.39902	0.60529	0.56305	0.12236	0.58722	-0.31644	0.11023	0.57021
FZD6 	-0.10304	-0.30006	-0.35175	0.6152	-0.84562	-0.51188	-0.26543	0.42564	1.62901	1.27455	0.37836	0.99377	0.80003	0.2266	1.40358	0.93892	0.98929	2.29925
WAS 	1.67236	1.84725	1.8899	1.78892	1.71922	1.75694	1.66204	1.84686	2.22914	2.07461	1.87909	1.99194	1.83211	1.95762	2.10924	2.14123	2.14767	2.18653
HBA1 	1.5808	2.11324	1.25365	0.40544	2.48974	1.77607	0.9464	3.19398	1.99734	3.59488	3.58169	6.0553	4.48635	6.1765	5.29914	4.76334	3.10464	2.4832
AHNAK 	2.22937	1.70405	1.71212	2.20323	2.14409	2.14567	2.28742	2.44972	3.425	2.74622	2.76719	3.45184	3.12389	2.76064	3.54143	2.39512	2.28335	3.6349
