	100_control_glom	110_control_glom	119_control_glom	123_control_glom	150_control_glom	154_control_glom	33_control_glom	34_control_glom	76_control_glom	77_control_glom	81_control_glom	82_control_glom	83_control_glom	151_DKD_glom	158_DKD_glom	164_DKD_glom	168_DKD_glom	178_DKD_glom	40_DKD_glom	48_DKD_glom	62_DKD_glom	67_DKD_glom
	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
MMP11 	0.13264	0.01538	-0.38018	0.20462	0.09102	-0.15523	-0.32412	-0.32713	-0.17816	-0.34762	-0.12527	-0.06611	0.00921	0.41276	0.4955	0.45167	0.62462	0.27398	0.25032	0.66124	0.75736	0.72849
ACTN1 	1.29622	1.34365	1.50635	0.59136	0.87636	1.15375	0.83419	1.93439	1.28779	0.28596	1.08726	1.28182	1.03758	2.64233	1.74776	2.2655	2.16478	2.12342	2.69473	2.37035	3.00823	2.07769
CD68 	-0.2346	-0.18929	-0.56215	-0.07808	0.07957	-0.31612	-0.1398	0.01427	-0.67188	0.0809	-0.39003	-0.34959	-0.37985	0.70545	0.45546	0.35248	0.37191	0.28211	0.05089	0.16225	0.26036	0.47695
STAB1 	-0.11418	0.79129	0.61725	-0.01081	-0.14753	-0.11369	0.11407	0.49456	0.19618	0.00768	0.21879	0.2811	0.065	1.12942	1.35214	1.38925	1.02113	1.29544	0.86305	0.62063	1.05039	0.6045
C1QA 	-1.09825	0.10774	0.15338	-0.4829	-0.85979	-0.9917	-0.5407	0.70867	-0.56823	-0.6564	-0.60511	-0.71573	-0.8024	1.59862	0.52842	1.80606	1.73784	1.38225	2.50957	0.28295	1.48628	1.3358
EDN1 	-0.17557	-0.02195	-0.14051	-0.25614	-0.31066	-0.25253	0.29875	-0.02937	-0.40456	-0.23451	-0.08155	0.18063	-0.15726	0.36548	0.21978	0.5535	0.45579	0.73085	0.18206	0.19079	0.42074	0.36794
FN1 	2.0862	2.03558	2.58964	1.87138	1.6687	1.89366	2.07366	2.66777	3.27894	3.01076	2.28672	3.68454	2.2164	3.55446	3.92687	4.04775	4.04583	3.38561	4.13295	3.33272	5.08745	3.60773
ARRB2 	-1.1577	-1.16867	-1.30632	-1.01267	-1.47128	-1.33253	-1.55516	-1.12889	-1.26447	-1.4816	-1.33661	-1.10431	-1.11948	-1.07946	-0.74475	-0.7636	-0.87834	-0.7219	-0.94238	-0.94405	-1.07619	-0.88223
SOCS1 	-0.80286	-0.99755	-0.89797	-1.06297	-1.38973	-1.41151	-0.97137	-0.69456	-1.15883	-1.15283	-0.99476	-1.08745	-0.69952	-0.66236	-0.39499	-0.49673	-0.66172	-0.27053	-0.21935	-0.55205	-0.59122	-0.78187
ITGB7 	0.58255	0.63057	0.16815	0.7391	0.75492	0.75406	0.17866	0.57864	0.48736	-0.01462	0.04177	0.14572	-0.06287	1.32018	1.31777	1.35463	1.389	0.92064	0.99501	0.6726	0.91933	1.69211
PPAP2C 	-1.76122	-1.9827	-1.46302	-1.31206	-1.72182	-1.62716	-1.68701	-1.76552	-1.55233	-1.82303	-1.84078	-1.59064	-1.67534	-0.86613	-1.35986	-0.99132	-1.24748	-0.74894	-0.99654	-1.44203	-1.25738	-1.06215
APBA2 	-0.14678	-0.04429	-0.17029	-0.09085	-0.24761	-0.14611	-0.22482	-0.30263	-0.40415	-0.16966	-0.44203	-0.2726	-0.15141	0.17051	0.26543	0.14902	0.05259	-0.01908	0	0.23733	0.33339	0.48277
TPD52L1 	3.71404	2.87116	2.03529	3.32851	3.22552	2.97576	2.38023	2.88205	2.45881	2.42068	2.59534	2.58569	2.48805	3.71237	3.86853	4.02107	3.74825	4.15551	3.70728	3.72385	4.22294	2.87327
CD300A 	0.52807	1.09614	1.01258	0.76023	0.59082	0.11741	0.13739	0.58591	-0.02699	0.57905	0.42838	0.68745	0.26519	1.28026	0.75772	1.04455	1.23626	1.50886	1.07063	1.18647	1.04807	1.20095
5-Sep	-1.2603	-1.29023	-1.70763	-1.12132	-1.27622	-1.12032	-1.54199	-1.49582	-1.70842	-1.49694	-1.46466	-1.45201	-1.70659	-0.86102	-0.56498	-0.76633	-0.70988	-0.5577	-1.08338	-0.88328	-1.20037	-1.15448
GGT5 	-0.41549	-0.72281	-0.21951	-0.64545	-0.49481	-0.5599	-0.4705	-0.16354	-0.55862	-0.56718	-0.20282	-0.31048	-0.45501	0.35501	0.57701	0.23271	-0.2039	0.90721	0.27285	0.00327	0.5892	0.55651
